lead_id,name,title,company,email,linkedin_url,lead_score,tier,company_score,stakeholder_score,decision_making_power,industry,company_size,products,materials,target_markets
LEAD-0018,FirstName3 LastName3,Director of Technology,3M Commercial Solutions,firstname3.lastname3@3m.com,,0.89,Tier 1,0.86,0.93,0.9,Graphics & Signage,Medium,['Graphics'],"['Vinyl', 'Aluminum', 'Acrylic']","['Corporate', 'Retail', 'Events']"
LEAD-0019,FirstName4 LastName4,Director of Technology,Avery Dennison Graphics Solutions,firstname4.lastname4@graphics.averydennison.com,,0.89,Tier 1,0.86,0.93,0.9,Graphics & Signage,Medium,['Graphics'],"['Vinyl', 'Aluminum', 'Acrylic']","['Corporate', 'Retail', 'Events']"
LEAD-0020,FirstName2 LastName2,Managing Director,Abitech,firstname2.lastname2@abitech.com,,0.89,Tier 1,0.86,0.93,0.9,Graphics & Signage,Medium,['Graphics'],"['Vinyl', 'Aluminum', 'Acrylic']","['Corporate', 'Retail', 'Events']"
LEAD-0021,FirstName3 LastName3,Director of Technology,Abitech,firstname3.lastname3@abitech.com,,0.89,Tier 1,0.86,0.93,0.9,Graphics & Signage,Medium,['Graphics'],"['Vinyl', 'Aluminum', 'Acrylic']","['Corporate', 'Retail', 'Events']"
LEAD-0022,FirstName2 LastName2,Brand Manager,ADMAX Exhibit & Display Ltd.,firstname2.lastname2@admaxdisplays.com,,0.88,Tier 1,0.9,0.84,0.7,Graphics & Signage,Medium,"['Signs', 'Displays']","['Vinyl', 'Aluminum', 'Acrylic']",['Events']
LEAD-0023,FirstName1 LastName1,Brand Manager,Aludecor,firstname1.lastname1@aludecor.com,,0.88,Tier 1,0.9,0.84,0.7,Graphics & Signage,Medium,"['Signs', 'Displays']","['Aluminum', 'Composite']","['Corporate', 'Retail', 'Events']"
LEAD-0024,FirstName1 LastName1,Technical Manager,CUTWORX USA,firstname1.lastname1@cutworxusa.com,,0.88,Tier 1,0.9,0.84,0.7,Graphics & Signage,Medium,"['Signs', 'Displays']","['Vinyl', 'Aluminum', 'Acrylic']","['Corporate', 'Retail', 'Events']"
LEAD-0025,FirstName4 LastName4,Marketing VP,"3A Composites USA, Inc.",firstname4.lastname4@3acompositesusa.com,,0.88,Tier 1,0.9,0.84,0.7,Graphics & Signage,Medium,"['Signs', 'Displays']",['Composite'],"['Corporate', 'Retail', 'Events']"
LEAD-0026,FirstName2 LastName2,Engineering Manager,Laguna Tools Inc.,firstname2.lastname2@lagunatools.com,,0.88,Tier 1,0.9,0.84,0.7,Graphics & Signage,Medium,"['Signs', 'Displays']","['Vinyl', 'Aluminum', 'Acrylic']","['Corporate', 'Retail', 'Events']"
LEAD-0027,FirstName2 LastName2,Sales VP,CUTWORX USA,firstname2.lastname2@cutworxusa.com,,0.86,Tier 1,0.9,0.79,0.6,Graphics & Signage,Medium,"['Signs', 'Displays']","['Vinyl', 'Aluminum', 'Acrylic']","['Corporate', 'Retail', 'Events']"
LEAD-0028,FirstName4 LastName4,VP of Operations,Abitech,firstname4.lastname4@abitech.com,,0.86,Tier 1,0.86,0.87,0.8,Graphics & Signage,Medium,['Graphics'],"['Vinyl', 'Aluminum', 'Acrylic']","['Corporate', 'Retail', 'Events']"
LEAD-0029,FirstName2 LastName2,Production Manager,3M Commercial Solutions,firstname2.lastname2@3m.com,,0.86,Tier 1,0.86,0.87,0.8,Graphics & Signage,Medium,['Graphics'],"['Vinyl', 'Aluminum', 'Acrylic']","['Corporate', 'Retail', 'Events']"
LEAD-0030,FirstName3 LastName3,Facility Manager,Avery Dennison Graphics Solutions,firstname3.lastname3@graphics.averydennison.com,,0.86,Tier 1,0.86,0.87,0.8,Graphics & Signage,Medium,['Graphics'],"['Vinyl', 'Aluminum', 'Acrylic']","['Corporate', 'Retail', 'Events']"
LEAD-0031,FirstName1 LastName1,Facility Manager,"Advantage Innovations, Inc",firstname1.lastname1@advantageinnovations.com,,0.86,Tier 1,0.86,0.87,0.8,Graphics & Signage,Medium,['Graphics'],"['Vinyl', 'Aluminum', 'Acrylic']","['Corporate', 'Retail', 'Events']"
LEAD-0032,FirstName2 LastName2,Operations VP,A.R.K. Ramos Foundry & Mfg. Co.,firstname2.lastname2@arkramos.com,,0.86,Tier 1,0.86,0.87,0.8,Graphics & Signage,Medium,"['Signs', 'Displays']",['Aluminum'],"['Corporate', 'Retail', 'Events']"
LEAD-0033,FirstName2 LastName2,Purchasing Manager,Avery Dennison Graphics Solutions,firstname2.lastname2@graphics.averydennison.com,,0.86,Tier 1,0.86,0.87,0.8,Graphics & Signage,Medium,['Graphics'],"['Vinyl', 'Aluminum', 'Acrylic']","['Corporate', 'Retail', 'Events']"
LEAD-0034,FirstName1 LastName1,Director of Purchasing,Signage Details,firstname1.lastname1@signagedetails.com,,0.86,Tier 1,0.82,0.91,0.9,Graphics & Signage,Medium,['Signs'],['Fabric'],"['Corporate', 'Retail', 'Events']"
LEAD-0035,FirstName1 LastName1,Client Relations Manager,Laguna Tools Inc.,firstname1.lastname1@lagunatools.com,,0.86,Tier 1,0.9,0.79,0.6,Graphics & Signage,Medium,"['Signs', 'Displays']","['Vinyl', 'Aluminum', 'Acrylic']","['Corporate', 'Retail', 'Events']"
LEAD-0036,FirstName1 LastName1,VP of Marketing,3M Commercial Solutions,firstname1.lastname1@3m.com,,0.84,Tier 1,0.86,0.82,0.7,Graphics & Signage,Medium,['Graphics'],"['Vinyl', 'Aluminum', 'Acrylic']","['Corporate', 'Retail', 'Events']"
LEAD-0037,FirstName2 LastName2,Technical Manager,"Advanced Greig Laminators, Inc.",firstname2.lastname2@aglaminators.com,,0.84,Tier 1,0.86,0.82,0.7,Graphics & Signage,Medium,['Graphics'],"['Vinyl', 'Aluminum', 'Acrylic']","['Corporate', 'Retail', 'Events']"
LEAD-0038,FirstName2 LastName2,Marketing VP,"Advantage Innovations, Inc",firstname2.lastname2@advantageinnovations.com,,0.84,Tier 1,0.86,0.82,0.7,Graphics & Signage,Medium,['Graphics'],"['Vinyl', 'Aluminum', 'Acrylic']","['Corporate', 'Retail', 'Events']"
LEAD-0039,FirstName2 LastName2,Production Manager,Signage Details,firstname2.lastname2@signagedetails.com,,0.83,Tier 1,0.82,0.85,0.8,Graphics & Signage,Medium,['Signs'],['Fabric'],"['Corporate', 'Retail', 'Events']"
LEAD-0040,FirstName1 LastName1,Sales Manager,Avery Dennison Graphics Solutions,firstname1.lastname1@graphics.averydennison.com,,0.82,Tier 1,0.86,0.77,0.6,Graphics & Signage,Medium,['Graphics'],"['Vinyl', 'Aluminum', 'Acrylic']","['Corporate', 'Retail', 'Events']"
LEAD-0041,FirstName1 LastName1,Sales VP,Abitech,firstname1.lastname1@abitech.com,,0.82,Tier 1,0.86,0.77,0.6,Graphics & Signage,Medium,['Graphics'],"['Vinyl', 'Aluminum', 'Acrylic']","['Corporate', 'Retail', 'Events']"
LEAD-0042,FirstName1 LastName1,Sales Manager,"Advanced Greig Laminators, Inc.",firstname1.lastname1@aglaminators.com,,0.82,Tier 1,0.86,0.77,0.6,Graphics & Signage,Medium,['Graphics'],"['Vinyl', 'Aluminum', 'Acrylic']","['Corporate', 'Retail', 'Events']"
LEAD-0043,FirstName1 LastName1,Client Relations Manager,A.R.K. Ramos Foundry & Mfg. Co.,firstname1.lastname1@arkramos.com,,0.82,Tier 1,0.86,0.77,0.6,Graphics & Signage,Medium,"['Signs', 'Displays']",['Aluminum'],"['Corporate', 'Retail', 'Events']"
LEAD-0044,FirstName3 LastName3,Marketing VP,Signage Details,firstname3.lastname3@signagedetails.com,,0.81,Tier 1,0.82,0.8,0.7,Graphics & Signage,Medium,['Signs'],['Fabric'],"['Corporate', 'Retail', 'Events']"
