lead_id,name,title,company,email,linkedin_url,lead_score,tier,company_score,stakeholder_score,decision_making_power,industry,company_size,products,materials,target_markets
LEAD-0014,FirstName1 LastName1,Director of Purchasing,CUTWORX USA,firstname1.lastname1@cutworxusa.com,,0.92,Tier 1,0.9,0.95,0.9,Graphics & Signage,Medium,"['Signs', 'Displays']","['Vinyl', 'Aluminum', 'Acrylic']","['Corporate', 'Retail', 'Events']"
LEAD-0015,FirstName1 LastName1,Purchasing Director,ADMAX Exhibit & Display Ltd.,firstname1.lastname1@admaxdisplays.com,,0.92,Tier 1,0.9,0.95,0.9,Graphics & Signage,Medium,"['Signs', 'Displays']","['Vinyl', 'Aluminum', 'Acrylic']",['Events']
LEAD-0016,FirstName2 LastName2,Creative Director,Laguna Tools Inc.,firstname2.lastname2@lagunatools.com,,0.92,Tier 1,0.9,0.95,0.9,Graphics & Signage,Medium,"['Signs', 'Displays']","['Vinyl', 'Aluminum', 'Acrylic']","['Corporate', 'Retail', 'Events']"
LEAD-0017,FirstName1 LastName1,Technical Director,Laguna Tools Inc.,firstname1.lastname1@lagunatools.com,,0.92,Tier 1,0.9,0.95,0.9,Graphics & Signage,Medium,"['Signs', 'Displays']","['Vinyl', 'Aluminum', 'Acrylic']","['Corporate', 'Retail', 'Events']"
LEAD-0018,FirstName4 LastName4,Director of Marketing,CUTWORX USA,firstname4.lastname4@cutworxusa.com,,0.92,Tier 1,0.9,0.95,0.9,Graphics & Signage,Medium,"['Signs', 'Displays']","['Vinyl', 'Aluminum', 'Acrylic']","['Corporate', 'Retail', 'Events']"
LEAD-0019,FirstName3 LastName3,Operations VP,Laguna Tools Inc.,firstname3.lastname3@lagunatools.com,,0.9,Tier 1,0.9,0.89,0.8,Graphics & Signage,Medium,"['Signs', 'Displays']","['Vinyl', 'Aluminum', 'Acrylic']","['Corporate', 'Retail', 'Events']"
LEAD-0020,FirstName2 LastName2,Operations VP,"3A Composites USA, Inc.",firstname2.lastname2@3acompositesusa.com,,0.9,Tier 1,0.9,0.89,0.8,Graphics & Signage,Medium,"['Signs', 'Displays']",['Composite'],"['Corporate', 'Retail', 'Events']"
LEAD-0021,FirstName4 LastName4,VP of Purchasing,Aludecor,firstname4.lastname4@aludecor.com,,0.9,Tier 1,0.9,0.89,0.8,Graphics & Signage,Medium,"['Signs', 'Displays']","['Aluminum', 'Composite']","['Corporate', 'Retail', 'Events']"
LEAD-0022,FirstName3 LastName3,Operations VP,CUTWORX USA,firstname3.lastname3@cutworxusa.com,,0.9,Tier 1,0.9,0.89,0.8,Graphics & Signage,Medium,"['Signs', 'Displays']","['Vinyl', 'Aluminum', 'Acrylic']","['Corporate', 'Retail', 'Events']"
LEAD-0023,FirstName1 LastName1,VP of Operations,Aludecor,firstname1.lastname1@aludecor.com,,0.9,Tier 1,0.9,0.89,0.8,Graphics & Signage,Medium,"['Signs', 'Displays']","['Aluminum', 'Composite']","['Corporate', 'Retail', 'Events']"
LEAD-0024,FirstName2 LastName2,Operations VP,ADMAX Exhibit & Display Ltd.,firstname2.lastname2@admaxdisplays.com,,0.9,Tier 1,0.9,0.89,0.8,Graphics & Signage,Medium,"['Signs', 'Displays']","['Vinyl', 'Aluminum', 'Acrylic']",['Events']
LEAD-0025,FirstName2 LastName2,Creative Director,Avery Dennison Graphics Solutions,firstname2.lastname2@graphics.averydennison.com,,0.89,Tier 1,0.86,0.93,0.9,Graphics & Signage,Medium,['Graphics'],"['Vinyl', 'Aluminum', 'Acrylic']","['Corporate', 'Retail', 'Events']"
LEAD-0026,FirstName4 LastName4,Chief Operating Officer,"Advanced Greig Laminators, Inc.",firstname4.lastname4@aglaminators.com,,0.89,Tier 1,0.86,0.93,0.9,Graphics & Signage,Medium,['Graphics'],"['Vinyl', 'Aluminum', 'Acrylic']","['Corporate', 'Retail', 'Events']"
LEAD-0027,FirstName1 LastName1,Operations Director,"Advanced Greig Laminators, Inc.",firstname1.lastname1@aglaminators.com,,0.89,Tier 1,0.86,0.93,0.9,Graphics & Signage,Medium,['Graphics'],"['Vinyl', 'Aluminum', 'Acrylic']","['Corporate', 'Retail', 'Events']"
LEAD-0028,FirstName4 LastName4,Sales Director,Avery Dennison Graphics Solutions,firstname4.lastname4@graphics.averydennison.com,,0.89,Tier 1,0.86,0.93,0.9,Graphics & Signage,Medium,['Graphics'],"['Vinyl', 'Aluminum', 'Acrylic']","['Corporate', 'Retail', 'Events']"
LEAD-0029,FirstName1 LastName1,CEO,Abitech,firstname1.lastname1@abitech.com,,0.89,Tier 1,0.86,0.93,0.9,Graphics & Signage,Medium,['Graphics'],"['Vinyl', 'Aluminum', 'Acrylic']","['Corporate', 'Retail', 'Events']"
LEAD-0030,FirstName1 LastName1,Creative Director,A.R.K. Ramos Foundry & Mfg. Co.,firstname1.lastname1@arkramos.com,,0.89,Tier 1,0.86,0.93,0.9,Graphics & Signage,Medium,"['Signs', 'Displays']",['Aluminum'],"['Corporate', 'Retail', 'Events']"
LEAD-0031,FirstName3 LastName3,Director of Technology,3M Commercial Solutions,firstname3.lastname3@3m.com,,0.89,Tier 1,0.86,0.93,0.9,Graphics & Signage,Medium,['Graphics'],"['Vinyl', 'Aluminum', 'Acrylic']","['Corporate', 'Retail', 'Events']"
LEAD-0032,FirstName1 LastName1,Brand Manager,"3A Composites USA, Inc.",firstname1.lastname1@3acompositesusa.com,,0.88,Tier 1,0.9,0.84,0.7,Graphics & Signage,Medium,"['Signs', 'Displays']",['Composite'],"['Corporate', 'Retail', 'Events']"
LEAD-0033,FirstName2 LastName2,Technical Manager,CUTWORX USA,firstname2.lastname2@cutworxusa.com,,0.88,Tier 1,0.9,0.84,0.7,Graphics & Signage,Medium,"['Signs', 'Displays']","['Vinyl', 'Aluminum', 'Acrylic']","['Corporate', 'Retail', 'Events']"
LEAD-0034,FirstName4 LastName4,VP of Operations,3M Commercial Solutions,firstname4.lastname4@3m.com,,0.86,Tier 1,0.86,0.87,0.8,Graphics & Signage,Medium,['Graphics'],"['Vinyl', 'Aluminum', 'Acrylic']","['Corporate', 'Retail', 'Events']"
LEAD-0035,FirstName2 LastName2,Purchasing VP,Abitech,firstname2.lastname2@abitech.com,,0.86,Tier 1,0.86,0.87,0.8,Graphics & Signage,Medium,['Graphics'],"['Vinyl', 'Aluminum', 'Acrylic']","['Corporate', 'Retail', 'Events']"
LEAD-0036,FirstName4 LastName4,Client Relations Manager,Laguna Tools Inc.,firstname4.lastname4@lagunatools.com,,0.86,Tier 1,0.9,0.79,0.6,Graphics & Signage,Medium,"['Signs', 'Displays']","['Vinyl', 'Aluminum', 'Acrylic']","['Corporate', 'Retail', 'Events']"
LEAD-0037,FirstName1 LastName1,Facility Manager,"Advantage Innovations, Inc",firstname1.lastname1@advantageinnovations.com,,0.86,Tier 1,0.86,0.87,0.8,Graphics & Signage,Medium,['Graphics'],"['Vinyl', 'Aluminum', 'Acrylic']","['Corporate', 'Retail', 'Events']"
LEAD-0038,FirstName1 LastName1,Facility Manager,Avery Dennison Graphics Solutions,firstname1.lastname1@graphics.averydennison.com,,0.86,Tier 1,0.86,0.87,0.8,Graphics & Signage,Medium,['Graphics'],"['Vinyl', 'Aluminum', 'Acrylic']","['Corporate', 'Retail', 'Events']"
LEAD-0039,FirstName1 LastName1,Chief Operating Officer,Signage Details,firstname1.lastname1@signagedetails.com,,0.86,Tier 1,0.82,0.91,0.9,Graphics & Signage,Medium,['Signs'],['Fabric'],"['Corporate', 'Retail', 'Events']"
LEAD-0040,FirstName4 LastName4,VP of Operations,Abitech,firstname4.lastname4@abitech.com,,0.86,Tier 1,0.86,0.87,0.8,Graphics & Signage,Medium,['Graphics'],"['Vinyl', 'Aluminum', 'Acrylic']","['Corporate', 'Retail', 'Events']"
LEAD-0041,FirstName3 LastName3,Client Relations Manager,Aludecor,firstname3.lastname3@aludecor.com,,0.86,Tier 1,0.9,0.79,0.6,Graphics & Signage,Medium,"['Signs', 'Displays']","['Aluminum', 'Composite']","['Corporate', 'Retail', 'Events']"
LEAD-0042,FirstName2 LastName2,Purchasing VP,3M Commercial Solutions,firstname2.lastname2@3m.com,,0.86,Tier 1,0.86,0.87,0.8,Graphics & Signage,Medium,['Graphics'],"['Vinyl', 'Aluminum', 'Acrylic']","['Corporate', 'Retail', 'Events']"
LEAD-0043,FirstName2 LastName2,Director of Sales,Signage Details,firstname2.lastname2@signagedetails.com,,0.86,Tier 1,0.82,0.91,0.9,Graphics & Signage,Medium,['Signs'],['Fabric'],"['Corporate', 'Retail', 'Events']"
LEAD-0044,FirstName3 LastName3,Project Manager,Avery Dennison Graphics Solutions,firstname3.lastname3@graphics.averydennison.com,,0.84,Tier 1,0.86,0.82,0.7,Graphics & Signage,Medium,['Graphics'],"['Vinyl', 'Aluminum', 'Acrylic']","['Corporate', 'Retail', 'Events']"
LEAD-0045,FirstName3 LastName3,Innovation Manager,Abitech,firstname3.lastname3@abitech.com,,0.84,Tier 1,0.86,0.82,0.7,Graphics & Signage,Medium,['Graphics'],"['Vinyl', 'Aluminum', 'Acrylic']","['Corporate', 'Retail', 'Events']"
LEAD-0046,FirstName2 LastName2,Innovation Manager,"Advantage Innovations, Inc",firstname2.lastname2@advantageinnovations.com,,0.84,Tier 1,0.86,0.82,0.7,Graphics & Signage,Medium,['Graphics'],"['Vinyl', 'Aluminum', 'Acrylic']","['Corporate', 'Retail', 'Events']"
LEAD-0047,FirstName3 LastName3,Marketing VP,"Advanced Greig Laminators, Inc.",firstname3.lastname3@aglaminators.com,,0.84,Tier 1,0.86,0.82,0.7,Graphics & Signage,Medium,['Graphics'],"['Vinyl', 'Aluminum', 'Acrylic']","['Corporate', 'Retail', 'Events']"
LEAD-0048,FirstName1 LastName1,Client Relations Manager,3M Commercial Solutions,firstname1.lastname1@3m.com,,0.82,Tier 1,0.86,0.77,0.6,Graphics & Signage,Medium,['Graphics'],"['Vinyl', 'Aluminum', 'Acrylic']","['Corporate', 'Retail', 'Events']"
LEAD-0049,FirstName3 LastName3,Client Relations Manager,"Advantage Innovations, Inc",firstname3.lastname3@advantageinnovations.com,,0.82,Tier 1,0.86,0.77,0.6,Graphics & Signage,Medium,['Graphics'],"['Vinyl', 'Aluminum', 'Acrylic']","['Corporate', 'Retail', 'Events']"
LEAD-0050,FirstName2 LastName2,Client Relations Manager,"Advanced Greig Laminators, Inc.",firstname2.lastname2@aglaminators.com,,0.82,Tier 1,0.86,0.77,0.6,Graphics & Signage,Medium,['Graphics'],"['Vinyl', 'Aluminum', 'Acrylic']","['Corporate', 'Retail', 'Events']"
LEAD-0051,FirstName2 LastName2,VP of Sales,A.R.K. Ramos Foundry & Mfg. Co.,firstname2.lastname2@arkramos.com,,0.82,Tier 1,0.86,0.77,0.6,Graphics & Signage,Medium,"['Signs', 'Displays']",['Aluminum'],"['Corporate', 'Retail', 'Events']"
